Species,Site,Introduced_status
Cerastium tomentosum,uk,Introduced
Allium vineale,uk,Native
Euphorbia helioscopia,uk,Introduced
Umbilicus rupestris,uk,Native
Malva sylvestris,uk,Introduced
Sanicula europaea,uk,Native
Diplotaxis muralis,uk,Introduced
Melica uniflora,uk,Native
Silene uniflora,uk,Native
Thymus praecox,uk,Native
Rubus ulmifolius,uk,Native
Sanguisorba minor,uk,Native
Trifolium campestre,uk,Native
Tragopogon pratensis,uk,Native
Liriodendron tulipifera,uk,Introduced
Crithmum maritimum,uk,Native
Tsuga heterophylla,uk,Introduced
Melampyrum cristatum,uk,Native
Populus nigra,uk,Native
Senecio squalidus,uk,Native
Verbena officinalis,uk,Introduced
Arabidopsis thaliana,uk,Native
Saxifraga tridactylites,uk,Native
Phyteuma orbiculare,uk,Native
Jasione montana,uk,Native
Ononis spinosa,uk,Native
Ranunculus arvensis,uk,Introduced
Artemisia maritima,uk,Native
Nicandra physalodes,uk,Introduced
Thlaspi arvense,uk,Introduced
Trifolium subterraneum,uk,Native
Valerianella carinata,uk,Introduced
Sison amomum,uk,Native
Cochlearia officinalis,uk,Native
Ludwigia palustris,uk,Native
Galeopsis tetrahit,uk,Native
Trifolium striatum,uk,Native
Lithospermum officinale,uk,Native
Plantago maritima,uk,Native
Papaver rhoeas,uk,Introduced
Hydrocotyle vulgaris,uk,Native
Euphorbia cyparissias,uk,Native
Angelica archangelica,uk,Native
Rubus ulmifolius,Ordu_urban,Native
Hypericum hirsutum,uk,Native
Myrica gale,uk,Native
Rubus ulmifolius,uk,Native
Digitaria sanguinalis,uk,Introduced
Galanthus nivalis,uk,Introduced
Honckenya peploides,uk,Native
Veronica anagallis-aquatica,uk,Native
Acaena novae-zelandiae,uk,Introduced
Hypericum pulchrum,uk,Native
Erodium moschatum,uk,Introduced
Sambucus racemosa,uk,Introduced
Astrantia major,uk,Introduced
Helleborus foetidus,uk,Native
Lathyrus tuberosus,uk,Introduced
Laburnum anagyroides,uk,Introduced
Lupinus polyphyllus,uk,Introduced
Eryngium maritimum,uk,Native
Allium sphaerocephalon,uk,Native
Trifolium fragiferum,uk,Native
Eriophorum vaginatum,uk,Native
Campanula latifolia,uk,Native
Leucojum aestivum,uk,Native
Parnassia palustris,uk,Native
Tragopogon porrifolius,uk,Native
Pulmonaria officinalis,uk,Introduced
Saxifraga aizoides,uk,Native
Campanula glomerata,uk,Native
Linum usitatissimum,uk,Introduced
Parietaria judaica,uk,Native
Gentianella amarella,uk,Native
Myrrhis odorata,uk,Introduced
Plantago media,uk,Native
Drosera anglica,uk,Native
Crepis capillaris,uk,Native
Amsinckia menziesii,uk,Introduced
Myosotis arvensis,uk,Introduced
Papaver dubium,uk,Introduced
Salicornia europaea,uk,Native
Sanguisorba officinalis,uk,Native
Campanula persicifolia,uk,Introduced
Centaurea montana,uk,Native
Lycium barbarum,uk,Introduced
Solidago virgaurea,uk,Native
Cirsium acaule,uk,Native
Hippocrepis comosa,uk,Native
Cerastium arvense,uk,Native
Menyanthes trifoliata,uk,Native
Sherardia arvensis,uk,Native
Foeniculum vulgare,uk,Introduced
Solanum lycopersicum,uk,Introduced
Torilis nodosa,uk,Native
Helianthemum nummularium,uk,Native
Hydrocharis morsus-ranae,uk,Native
Arctostaphylos uva-ursi,uk,Native
Verbascum nigrum,uk,Native
Carex spicata,uk,Native
Vicia villosa,uk,Introduced
Helianthus annuus,uk,Introduced
Glaucium flavum,uk,Native
Pulsatilla vulgaris,uk,Native
Hippuris vulgaris,uk,Native
Leymus arenarius,uk,Native
Geranium sylvaticum,uk,Native
Juncus articulatus,uk,Native
Dianthus deltoides,uk,Native
Anthriscus caucalis,uk,Native
Vaccinium uliginosum,uk,Native
Cotula coronopifolia,uk,Introduced
Limonium vulgare,uk,Native
Sinapis arvensis,uk,Introduced
Empetrum nigrum,uk,Native
Silene gallica,uk,Introduced
Rumex conglomeratus,uk,Native
Cirsium eriophorum,uk,Native
Spergula arvensis,uk,Native
Atriplex laciniata,uk,Native
Silaum silaus,uk,Native
Atriplex prostrata,uk,Native
Genista anglica,uk,Native
Chaerophyllum temulum,uk,Native
Euphrasia nemorosa,uk,Native
Triglochin maritima,uk,Native
Medicago sativa,uk,Introduced
Rumex maritimus,uk,Native
Solanum tuberosum,uk,Introduced
Salix alba,uk,Introduced
Carex extensa,uk,Native
Daphne mezereum,uk,Native
Oxalis corniculata,uk,Introduced
Verbascum pulverulentum,uk,Native
Schoenus nigricans,uk,Native
Descurainia sophia,uk,Introduced
Rumex obtusifolius,uk,Native
Rubia peregrina,uk,Native
Briza media,uk,Native
Viola hirta,uk,Native
Anaphalis margaritacea,uk,Introduced
Carex divulsa,uk,Native
Rumex hydrolapathum,uk,Native
Rhodiola rosea,uk,Native
Deschampsia cespitosa,uk,Native
Diplotaxis tenuifolia,uk,Introduced
Silene acaulis,uk,Native
Berula erecta,uk,Native
Samolus valerandi,uk,Native
Stellaria nemorum,uk,Native
Sequoia sempervirens,uk,Introduced
Rumex obtusifolius,uk,Native
Scilla bifolia,uk,Introduced
Myosotis scorpioides,uk,Native
Gleditsia triacanthos,uk,Introduced
Impatiens parviflora,uk,Introduced
Paris quadrifolia,uk,Native
Rhynchospora alba,uk,Native
Carex flacca,uk,Native
Picea sitchensis,uk,Introduced
Poa nemoralis,uk,Native
Vicia lathyroides,uk,Native
Picris hieracioides,uk,Native
Lepidium latifolium,uk,Native
Saponaria officinalis,uk,Introduced
Crepis vesicaria,uk,Introduced
Carex arenaria,uk,Native
Hypericum elodes,uk,Native
Triglochin palustris,uk,Native
Dipsacus pilosus,uk,Native
Saxifraga oppositifolia,uk,Native
Galeopsis speciosa,uk,Introduced
Valeriana dioica,uk,Native
Rhamnus cathartica,uk,Native
Rumex obtusifolius,uk,Native
Rosa rubiginosa,uk,Native
Aira caryophyllea,uk,Native
Rumex sanguineus,uk,Native
Potamogeton natans,uk,Native
Potamogeton polygonifolius,uk,Native
Dryas octopetala,uk,Native
Mespilus germanica,uk,Introduced
Silene noctiflora,uk,Introduced
Carex panicea,uk,Native
Symphytum tuberosum,uk,Native
Cerastium diffusum,uk,Native
Cynoglossum officinale,uk,Native
Carlina vulgaris,uk,Introduced
Comarum palustre,uk,Native
Matthiola incana,uk,Introduced
Rumex sanguineus,uk,Native
Lonicera involucrata,uk,Introduced
Viola palustris,uk,Native
Calamagrostis epigejos,uk,Native
Calystegia soldanella,uk,Native
Salix caprea,uk,Native
Salix fragilis,uk,Introduced
Alchemilla alpina,uk,Native
Seseli libanotis,uk,Native
Hottonia palustris,uk,Native
Arabis hirsuta,uk,Native
Drosera intermedia,uk,Native
Carduus acanthoides,uk,Native
Artemisia absinthium,uk,introduced
Rubus caesius,uk,Native
Colutea arborescens,uk,Introduced
Montia fontana,uk,Native
Polycarpon tetraphyllum,uk,Native
Misopates orontium,uk,Introduced
Nepeta cataria,uk,Introduced
Scabiosa columbaria,uk,Introduced
Tripleurospermum maritimum,uk,Native
Sambucus ebulus,uk,Introduced
Orthilia secunda,uk,Native
Gaultheria shallon,uk,Introduced
Salvia nemorosa,uk,Introduced
Rubus spectabilis,uk,Introduced
Myriophyllum alterniflorum,uk,Native
Salvia officinalis,uk,Introduced
Rhinanthus serotinus,uk,Native
Avena fatua,uk,Introduced
Sagittaria sagittifolia,uk,Native
Bromus secalinus,uk,Introduced
Veronica agrestis,uk,Introduced
Myosotis ramosissima,uk,Native
Galium album,uk,Introduced
Cynara cardunculus,uk,Introduced
Veronica spicata,uk,Introduced
Stachys arvensis,uk,Introduced
Salix fragilis,uk,Introduced
Melittis melissophyllum,uk,Native
Erysimum cheiri,uk,Introduced
Potentilla anserina,uk,Native
Myriophyllum spicatum,uk,Native
Salvia pratensis,uk,Native
Spergularia media,uk,Native
Genista pilosa,uk,Native
Carex acutiformis,uk,Native
Serratula tinctoria,uk,Native
Genista tinctoria,uk,Native
Senecio erucifolius,uk,Native
Crataegus laevigata,uk,Native
Senecio jacobaea,uk,Native
Carex paniculata,uk,Native
Liparis loeselii,uk,Native
Polygala vulgaris,uk,Native
Lepidium campestre,uk,Introduced
Bidens cernua,uk,Native
Galinsoga parviflora,uk,Introduced
Senecio jacobaea,uk,Native
Juncus maritimus,uk,Native
Viola tricolor,uk,Native
Cydonia oblonga,uk,Introduced
Pimpinella saxifraga,uk,Native
Senecio sylvaticus,uk,Native
Geranium columbinum,uk,Native
Atriplex littoralis,uk,Native
Oxyria digyna,uk,Native
Bromus ramosus,uk,Native
Rudbeckia hirta,uk,Introduced
Sium latifolium,uk,Native
Viola canina,uk,Native
Brassica oleracea,uk,Native
Sisymbrium loeselii,uk,Introduced
Trifolium glomeratum,uk,Native
Catapodium rigidum,uk,Native
Apium graveolens,uk,Native
Rapistrum rugosum,uk,Introduced
Ulex gallii,uk,Native
Bupleurum tenuissimum,uk,Native
Viola lutea,uk,Native
Antennaria dioica,uk,Native
Iris germanica,uk,Introduced
Eleocharis palustris,uk,Native
Atriplex glabriuscula,uk,Native
Centaurium pulchellum,uk,Native
Trollius europaeus,uk,Native
Alopecurus geniculatus,uk,Native
Dianthus armeria,uk,Native
Fumaria muralis,uk,Native
Erigeron borealis,uk,Native
Sesleria caerulea,uk,Introduced
Acorus calamus,uk,Introduced
Glyceria maxima,uk,Native
Brachypodium pinnatum,uk,Native
Onopordum acanthium,uk,Introduced
Stellaria palustris,uk,Native
Picea abies,uk,Introduced
Smyrnium perfoliatum,uk,Introduced
Campanula rapunculoides,uk,Introduced
Symphyotrichum novi-belgii,uk,Introduced
Mentha pulegium,uk,Native
Bunias orientalis,uk,Introduced
Avena sativa,uk,Introduced
Carex caryophyllea,uk,Native
Lotus tenuis,uk,Native
Galium uliginosum,uk,Native
Cannabis sativa,uk,Introduced
Allium schoenoprasum,uk,Native
Euphorbia exigua,uk,Introduced
Thalictrum flavum,uk,Native
Campanula medium,uk,Introduced
Ambrosia artemisiifolia,uk,Introduced
Trisetum flavescens,uk,Native
Pyrola minor,uk,Native
Spergularia rupicola,uk,Native
Sagina apetala,uk,Native
Doronicum pardalianches,uk,Introduced
Carex strigosa,uk,Native
Verbascum virgatum,uk,Native
Sherardia arvensis,uk,Native
Sisymbrium altissimum,rhf,Introduced
Colchicum autumnale,uk,Native
Bromus tectorum,uk,Introduced
Amaranthus retroflexus,uk,Introduced
Staphylea pinnata,uk,Introduced
Sparganium emersum,uk,Native
Astragalus glycyphyllos,uk,Native
Rorippa amphibia,uk,Native
Nardus stricta,uk,Native
Bromus carinatus,uk,Introduced
Saxifraga hypnoides,uk,Native
Schoenoplectus tabernaemontani,uk,Native
Linnaea borealis,uk,Native
Ammi majus,uk,Introduced
Helianthus tuberosus,uk,Introduced
Allium scorodoprasum,uk,Native
Valerianella locusta,uk,Native
Solidago gigantea,uk,Introduced
Bidens tripartita,uk,Native
Ranunculus penicillatus,uk,Native
Solidago virgaurea,Reinischkogel,Native
Rubus parviflorus,uk,Introduced
Carthamus tinctorius,uk,Introduced
Phalaris canariensis,uk,Introduced
Quercus coccinea,uk,Introduced
Verbascum lychnitis,uk,Native
Koeleria macrantha,uk,Native
Sagina nodosa,uk,Native
Gentiana pneumonanthe,uk,Native
Euphrasia officinalis,uk,Native
Fallopia convolvulus,uk,Introduced
Illecebrum verticillatum,uk,Native
Rosa multiflora,uk,Introduced
Veronica peregrina,uk,Introduced
Cornus mas,uk,Introduced
Tilia americana,uk,Introduced
Acer rubrum,uk,Introduced
Sorbaria sorbifolia,uk,Introduced
Leontodon hispidus,uk,Native
Luzula multiflora,uk,Native
Chenopodium ficifolium,uk,Introduced
Trifolium resupinatum,uk,Introduced
Luzula pilosa,uk,Native
Hordeum jubatum,uk,Introduced
Cynodon dactylon,uk,Native
Galium boreale,uk,Native
Sonchus arvensis,uk,Native
Rorippa palustris,uk,Native
Spergularia marina,uk,Native
Galium sterneri,uk,Native
Sonchus arvensis,Ordu_urban,Native
Brassica napus,uk,Introduced
Veronica catenata,uk,Native
Catabrosa aquatica,uk,Native
Pinus contorta,uk,Introduced
Poa pratensis,uk,Native
Carex capillaris,uk,Native
Baldellia ranunculoides,uk,Native
Berberis vulgaris,uk,Introduced
Rubus fruticosus,uk,Native
Verbascum phlomoides,uk,Introduced
Bidens frondosa,uk,Introduced
Ajuga pyramidalis,uk,Native
Amaranthus caudatus,uk,Introduced
Anthemis cotula,uk,Introduced
Salix triandra,uk,Introduced
Sedum sexangulare,uk,Introduced
Thalictrum minus,uk,Native
Lathyrus palustris,uk,Native
Mentha arvensis,uk,Native
Festuca rubra,uk,Native
Sonchus asper,uk,Native
Portulaca oleracea,uk,Introduced
Taxodium distichum,uk,Introduced
Sonchus asper,uk,Native
Iberis umbellata,uk,Introduced
Hyssopus officinalis,uk,Introduced
Althaea officinalis,uk,Native
Meum athamanticum,uk,Native
Radiola linoides,uk,Native
Oxytropis campestris,uk,Native
Hypericum maculatum,uk,Native
Bromus diandrus,uk,Introduced
Pimpinella major,uk,Native
Ranunculus aquatilis,uk,Native
Phleum phleoides,uk,Native
Stellaria holostea,uk,Native
Gentianella campestris,uk,Native
Spiraea salicifolia,uk,Introduced
Gentianella germanica,uk,Native
Hieracium maculatum,uk,Native
Aster amellus,uk,Native
Aruncus dioicus,uk,Introduced
Holodiscus discolor,uk,Introduced
Symphyotrichum novae-angliae,uk,Introduced
Sorghum bicolor,uk,Introduced
Anthriscus cerefolium,uk,Introduced
Levisticum officinale,uk,Introduced
Teucrium chamaedrys,uk,Native
Panicum capillare,uk,Introduced
Salvia verticillata,uk,Introduced
Sinapis alba,uk,Introduced
Buphthalmum salicifolium,uk,Native
Thalictrum fendleri,rhf,Native
Prunus serotina,uk,Introduced
Ribes alpinum,uk,Native
Lythrum portula,uk,Native
Artemisia dracunculus,uk,Introduced
Silene nutans,uk,Native
Cardamine heptaphylla,uk,Introduced
Eucalyptus globulus,uk,Introduced
Crepis paludosa,uk,Native
Calendula arvensis,uk,Native
Cochlearia anglica,uk,Native
Thymus serpyllum,uk,Native
Chaerophyllum aureum,uk,Introduced
Melilotus indicus,uk,Introduced
Dianthus gratianopolitanus,uk,Native
Prunus cerasus,uk,Introduced
Cirsium dissectum,uk,Native
Scandix pecten-veneris,uk,Introduced
Betula nana,uk,Native
Galium murale,uk,Introduced
Hepatica nobilis,uk,Introduced
Carex pauciflora,uk,Native
Circaea alpina,uk,Native
Juncus bulbosus,uk,Native
Centaurea jacea,uk,Native
Erigeron annuus,uk,Introduced
Cyperus fuscus,uk,Native
Carex elata,uk,Native
Cicuta virosa,uk,Native
Draba aizoides,uk,Native
Medicago polymorpha,uk,Native
Thymus vulgaris,uk,Introduced
Actaea spicata,uk,Native
Gentiana nivalis,uk,Native
Tragopogon dubius,rhf,Introduced
Marrubium vulgare,uk,Native
Lolium multiflorum,uk,Introduced
Spergularia rubra,uk,Native
Aphanes australis,uk,Native
Galeopsis angustifolia,uk,Introduced
Bromus inermis,uk,Introduced
Epilobium obscurum,uk,Native
Carex pulicaris,uk,Native
Eleocharis quinqueflora,uk,Native
Abies alba,uk,Introduced
Blysmus rufus,uk,Native
Isolepis setacea,uk,Native
Trifolium campestre,Enez forest,Native
Alchemilla glabra,uk,Native
Callitriche stagnalis,uk,Native
Carex distans,uk,Native
Eriophorum latifolium,uk,Native
Carex canescens,uk,Native
Glyceria declinata,uk,Native
Carex magellanica,uk,Native
Leucojum vernum,uk,Introduced
Trifolium hybridum,rhf,Introduced
Cerastium semidecandrum,uk,Native
Pinus strobus,uk,Introduced
Calla palustris,uk,Introduced
Erigeron speciosus,uk,Introduced
Symphyotrichum ericoides,uk,Introduced
Erysimum cheiranthoides,uk,Introduced
Artemisia annua,uk,introduced
Hypochaeris glabra,uk,Native
Rosa agrestis,uk,Native
Euphorbia esula,uk,Introduced
Polygonatum odoratum,uk,Native
Anthemis arvensis,uk,Introduced
Torilis arvensis,uk,Introduced
Arabis alpina,uk,Native
Epilobium roseum,uk,Native
Oenothera parviflora,uk,Introduced
Rubus saxatilis,uk,Native
Lythrum hyssopifolia,uk,Introduced
Pinus nigra,uk,Introduced
Hieracium murorum,uk,Native
Brassica nigra,uk,Introduced
Isatis tinctoria,uk,Introduced
Berteroa incana,uk,Introduced
Rumex longifolius,uk,Native
Rumex aquaticus,uk,Native
Teesdalia nudicaulis,uk,Native
Senecio vernalis,uk,Introduced
Potentilla argentea,uk,Native
Agrostis gigantea,uk,Introduced
Cynosurus echinatus,uk,Introduced
Carum carvi,uk,Introduced
Capsicum annuum,uk,Introduced
Helianthemum apenninum,uk,Native
Eryngium campestre,uk,Introduced
Euphorbia stricta,uk,Native
Bupleurum rotundifolium,uk,Introduced
Trinia glauca,uk,Native
Logfia minima,uk,Native
Omalotheca sylvatica,uk,Native
Setaria pumila,uk,Introduced
Juglans nigra,uk,Introduced
Myosurus minimus,uk,Native
Coincya monensis,uk,Native
Melampyrum arvense,uk,Native
Mentha longifolia,uk,Native
Phyteuma spicatum,uk,Native
Eleocharis acicularis,uk,Native
Helictotrichon pratense,uk,Native
Centaurium littorale,uk,Native
Trifolium rubens,uk,Introduced
Cirsium tuberosum,uk,Native
Silene otites,uk,Native
Limosella aquatica,uk,Native
Ranunculus peltatus,uk,Native
Carex vesicaria,uk,Native
Alopecurus aequalis,uk,Native
Hieracium sabaudum,uk,Native
Sonchus palustris,uk,Native
Calamagrostis canescens,uk,Native
Corydalis cava,uk,Introduced
Poa bulbosa,uk,Native
Myosoton aquaticum,uk,Native
Medicago minima,uk,Native
Melica nutans,uk,Native
Hypericum montanum,uk,Native
Teucrium scordium,uk,Native
Sagina maritima,uk,Native
Petrorhagia nanteuilii,uk,Native
Carex digitata,uk,Native
Carex ornithopoda,uk,Native
Carex muricata,uk,Native
Rorippa islandica,uk,Native
Bromus erectus,uk,Native
Artemisia campestris,uk,Native
Pinus banksiana,uk,Introduced
Populus balsamifera,uk,Introduced
Corynephorus canescens,uk,Native
Oenanthe aquatica,uk,Native
Carex montana,uk,Native
Carex diandra,uk,Native
Valerianella dentata,uk,Introduced
Hordeum distichon,uk,Introduced
Trisetum flavescens,uk,Native
Scrophularia umbrosa,uk,Native
Juncus subnodulosus,uk,Native
Nasturtium microphyllum,uk,Native
Scleranthus annuus,uk,Native
Cerastium alpinum,uk,Native
Clematis viticella,uk,Introduced
Acacia dealbata,uk,Introduced
Bartsia alpina,uk,Native
Veronica alpina,uk,Native
Trisetum flavescens,uk,Native
Vaccinium myrtillus,Reinischkogel,Native
Scorzonera humilis,uk,Native
Bromus madritensis,uk,Introduced
Valeriana officinalis,uk,Native
Malva pusilla,uk,Introduced
Potentilla anglica,uk,Native
Hordelymus europaeus,uk,Native
Carex buxbaumii,uk,Native
Setaria viridis,uk,Introduced
Hornungia petraea,uk,Native
Prunus mahaleb,uk,Introduced
Callitriche palustris,uk,Native
Filago lutescens,uk,Native
Tofieldia pusilla,uk,Native
Campanula patula,uk,Native
Cardamine impatiens,uk,Native
Veronica triphyllos,uk,Introduced
Juncus compressus,uk,Native
Galium parisiense,uk,Introduced
Deschampsia setacea,uk,Native
Petrorhagia prolifera,uk,Introduced
Rosa dumalis,uk,Native
Bromus racemosus,uk,Native
Veronica longifolia,uk,Introduced
Veronica officinalis,Reinischkogel,Native
Populus trichocarpa,uk,Introduced
Tolpis barbata,uk,Introduced
Chenopodium vulvaria,uk,Introduced
Asarum europaeum,uk,Introduced
Taraxacum palustre,uk,Native
Lepidium virginicum,uk,Introduced
Centaurea solstitialis,uk,Native
Stachys germanica,uk,Native
Veronica fruticans,uk,Native
Carex lasiocarpa,uk,Native
Hordeum marinum,uk,Native
Asclepias syriaca,uk,Introduced
Veronica officinalis,uk,Native
Potamogeton alpinus,uk,Native
Salix daphnoides,uk,Introduced
Legousia hybrida,uk,Introduced
Carex humilis,uk,Native
Bromus commutatus,uk,Native
Herniaria glabra,uk,Native
Calocedrus decurrens,uk,Introduced
Valerianella rimosa,uk,Introduced
Vicia americana,rhf,Native
Turritis glabra,uk,Native
Acacia melanoxylon,uk,Introduced
Viola arvensis,uk,Introduced
Anemone ranunculoides,uk,Introduced
Briza minor,uk,Introduced
Vitis vinifera,uk,Introduced
Prunus pensylvanica,uk,Introduced
Teucrium botrys,uk,Native
Oxalis stricta,uk,Introduced
Festuca altissima,uk,Native
Vulpia bromoides,uk,Native
Cerastium pumilum,uk,Native
Silene dichotoma,uk,Introduced
Falcaria vulgaris,uk,Introduced
Kalmia polifolia,uk,Introduced
Potentilla crantzii,uk,Native
Trifolium aureum,uk,Introduced
Vicia faba,uk,Introduced
Tripleurospermum inodorum,Boothby,Introduced
Lotus glaber,Boothby,Introduced
Phleum bertolonii,Boothby,Native
Bromopsis ramosa,Boothby,Native
Anisantha sterilis,Boothby,Introduced
Salix aurita,Boothby,Native
Pulicaria dysenterica,Boothby,Native
Lolium giganteum,Boothby,Native
Geranium rotundifolium,Boothby,Native
Matricaria chamomilla,Boothby,Introduced
Matricaria discoidea,Boothby,Introduced
Heracleum mantegazzianum,Boothby,Introduced
Senecio aureus,Boothby,Introduced
Helminthotheca echioides,Boothby,Introduced
Festuca myuros,Boothby,Introduced
Myosotis secunda,Boothby,Native
Pteridium aquilinum,Budworth,Native
Pulicaria dysenterica,Knepp,Native
Geranium pusillum,Knepp,Native
Salix aurita,Knepp,Native
Rosa arvensis,Knepp,Native
Hordeum secalinum,Knepp,Native
Phleum bertolonii,Knepp,Native
Tripleurospermum inodorum,Knepp,Introduced
Parentucellia viscosa,Knepp,Native
Impatiens noli-tangere,Knepp,Native
Odontites vernus,Knepp,Native
Ervum tetraspermum,Knepp,Native
Pteridium aquilinum,Knepp,Native
Chamaenerion angustifolium,Knepp,Native
Persicaria hydropiper,Knepp,Native
Salix cinerea,Knepp,Native
Equisetum fluviatile,Knepp,Native
Schedonorus giganteus,Knepp,Native
Asperula cynanchica,Knepp,Native
Avenella flexuosa,Knepp,Native
Scorzoneroides autumnalis,Knepp,Native
Jacobaea vulgaris,Knepp,Native
Hyacinthoides x massartiana,Silwood Park,Introduced
Poa trivalis,Silwood Park,Native
Holcus mollis,Silwood Park,Native
Dryopteris filix-mas,Silwood Park,Native
Pteridium aquilinum,Silwood Park,Native
Rubus pruinosus,Silwood Park,Native
Jacobaea vulgaris,Silwood Park,Native
Linum tenuifolium,Silwood Park,Introduced
Carex riparia,Silwood Park,Native
Equisetum arvense,Silwood Park,Native
Erigeron canadensis,Silwood Park,Introduced
Asparagus aculeatus,Enez forest,Introduced
Pinus brutia,Enez forest,Native
Puccinellia distans,Enez forest,Native
Festuca heterophylla,Enez forest,Native
Quercus pubescens,Enez forest,Native
Ruscus aculeatus,Enez forest,Native
Lagurus ovatus,Enez forest,Native
Ulmus minor,Enez forest,Native
Smilax aspera,Ordu_urban,Native
Sorghum halepense,Ordu_urban,Introduced
Setaria glauca,Ordu_urban,Introduced
Symphyotrichum subulatum,Ordu_urban,Introduced
Persicaria hydropiper,Ordu_urban,Native
Equisetum telmateia,Ordu_urban,Native
Fragaria viridis,Ordu_urban,Native
Bejaria racemosa,Archbold,Native
Lyonia lucida,Archbold,Native
Smilax auriculata,Archbold,Native
Lyonia fruticosa,Archbold,Native
Quercus myrtifolia,Archbold,Native
Serenoa repens,Archbold,Native
Quercus inopina,Archbold,Native
Selaginella arenicola,Archbold,Native
Geobalanus oblongifolius,Archbold,Native
Aristida gyrans,Archbold,Native
Polygonum polygamum,Archbold,Native
Ceratiola ericoides,Archbold,Native
Rhynchospora megalocarpa,Archbold,Native
Quercus chapmanii,Archbold,Native
Quercus geminata,Archbold,Native
Gaylussacia dumosa,Archbold,Native
Vaccinium myrsinites,Archbold,Native
Palafoxia feayi,Archbold,Native
Ilex glabra,Archbold,Native
Vaccinium darrowii,Archbold,Native
Seymeria pectinata,Archbold,Native
Trichostema suffrutescens,Archbold,Native
Eupatorium leptophyllum,Archbold,Native
Amphicarpum muehlenbergianum,Archbold,Native
Dichanthelium portoricense,Archbold,Native
Andropogon virginicum,Archbold,Native
Drosera capillaris,Archbold,Native
Fuirena scirpoidea,Archbold,Native
Lachnanthes caroliana,Archbold,Native
Rhynchospora fascicularis,Archbold,Native
Sabal etonia,Archbold,Native
Balduina angustifolia,Archbold,Native
Commelina erecta,Archbold,Native
Quercus minima,Archbold,Native
Lechea deckertii,Archbold,Native
Cnidoscolus stimulosus,Archbold,Native
Paronychia chartacea,Archbold,Native
Hypericum tenuifolium,Archbold,Native
Aristida stricta,Archbold,Native
Morella pumila,Archbold,Native
Polygonum nesomii,Archbold,Native
Hypericum myrtifolium,Archbold,Native
Polygonum basiramia,Archbold,Native
Crocanthemum nashii,Archbold,Native
Coleataenia abscissa,Archbold,Native
Andropogon brachystachyus,Archbold,Native
Schizachyrium stoloniferum,Archbold,Native
Dichanthelium chamaelonche,Archbold,Native
Rhynchospora fernaldii,Archbold,Native
Stipulicida setacea,Archbold,Native
Hypericum edisonianum,Archbold,Native
Petasites albus,Reinischkogel,Native
Viola reichenbachiana,Reinischkogel,Native
Dryopteris filix-mas,Reinischkogel,Native
Pteridium aquilinum,Reinischkogel,Native
Luzula luzuloides,Reinischkogel,Native
Quercus robur,Reinischkogel,Native
Bromus briziformis,rhf,Introduced
Crepis acuminata,rhf,Native
Symphoricarpos oreophilus,rhf,Native
Agastache urticifolia,rhf,Native
Helianthella uniflora,rhf,Native
Lathyrus pauciflorus,rhf,Native
Eriogonum heracleoides,rhf,Native
Rudbeckia occidentalis,rhf,Native
Berberis repens,rhf,Native
Osmorhiza berteroi,rhf,Native
Lupinus sericeus,rhf,Native
Balsamorhiza sagittata,rhf,Native
Balsamorhiza macrophylla,rhf,Native
Eriogonum umbellatum,rhf,Native
Wyethia amplexicaulis,rhf,Native
Comandra umbellata,rhf,Native
Acer grandidentatum (dead leaves),rhf,
Alyssum desertorum,rhf,Introduced
Artemisia tridentata (dead bark),rhf,
Oryzopsis hymenoides,rhf,Native
Bromus marginatus,rhf,Native
Physocarpus malvaceus,rhf,Native
Mertensia arizonica,rhf,Native
Sedum debile,rhf,Native
Arnica cordifolia,rhf,Native
Collinsia parviflora,rhf,Native
Cystopteris fragilis,rhf,Native
Leymus cinereus,rhf,Native
Rosa woodsii,rhf,Native
Epilobium adenocaulon,rhf,Native
Pseudostellaria jamesiana,rhf,Native
Chrysothamnus viscidiflorus,rhf,Native
Maianthemum stellatum,rhf,Native
Geranium viscosissimum,rhf,Native
Lithospermum ruderale,rhf,Native
Cirsium pulcherrimum,rhf,Native
Lomatium dissectum,rhf,Native
Oenothera caespitosa,rhf,Native
Astragalus alpinus,rhf,Native
Collomia linearis,rhf,Native
Bromus catharticus,rhf,Introduced
Trisetum canescens,rhf,Native
Paxistima myrsinites,rhf,Native
Clematis occidentalis,rhf,Native
Prosartes trachycarpa,rhf,Native
Lithophragma parviflorum,rhf,Native
Nemophila breviflora,rhf,Native
Elymus trachycaulus,rhf,Native
Elymus lanceolatus,rhf,Native
Lomatium grayi,rhf,Native
Allium acuminatum,rhf,Native
Acer grandidentatum,rhf,Native
Hydrophyllum capitatum,rhf,Native
Agoseris parviflora,rhf,Native
Verbascum thapsus (stalks),rhf,
Artemisia ludoviciana,rhf,Native
Penstemon humilis,rhf,Native
Hackelia patens,rhf,Native
Betula occidentalis,rhf,Native
Salix exigua,rhf,Native
Equisetum arvense,rhf,Native
Geum macrophyllum,rhf,Native
Dracocephalum parviflorum,rhf,Native
Mertensia oblongifolia,rhf,Native
Epilobium brachycarpum,rhf,Native
Linaria genistifolia,rhf,Introduced
Purshia tridentata,rhf,Native
Senecio integerrimus,rhf,Native
Viola purpurea,rhf,Native
Linum lewisii,rhf,Native
Melica bulbosa,rhf,Native
Ozomelis stauropetala,rhf,Native
Eucephalus elegans,rhf,Native
Astragalus convallarius,rhf,Native
