"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"11",4459465422,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/280757642","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer campestre","","SPECIES","Acer campestre L.","Acer campestre","","GB","Ancaster CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.978685,-0.536,NA,NA,NA,NA,NA,NA,2023-07-16,16,7,2023,3189863,3189863,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:10:05.118,"StillImage",""
"12",4408412339,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/275290360","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lathyrus","Lathyrus pratensis","","SPECIES","Lathyrus pratensis L.","Lathyrus pratensis","","GB","Ancaster CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.978425,-0.537281,NA,NA,NA,NA,NA,NA,2023-06-07,7,6,2023,5356701,5356701,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:20:40.178,"StillImage",""
"13",4408361414,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/274861379","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium arvense","","SPECIES","Cirsium arvense (L.) Scop.","Cirsium arvense","","GB","Ancaster CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.97825,-0.537167,NA,NA,NA,NA,NA,NA,2023-06-04,4,6,2023,3113414,3113414,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:10:32.109,"StillImage",""
"14",4408342627,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/274856084","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium vulgare","","SPECIES","Cirsium vulgare (Savi) Ten.","Cirsium vulgare","","GB","Ancaster CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.978731,-0.536293,NA,NA,NA,NA,NA,NA,2023-06-04,4,6,2023,3112801,3112801,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:10:03.502,"StillImage",""
"15",4408285084,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/277060045","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lathyrus","Lathyrus pratensis","","SPECIES","Lathyrus pratensis L.","Lathyrus pratensis","","GB","Ancaster CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.978146,-0.537193,NA,NA,NA,NA,NA,NA,2023-06-19,19,6,2023,5356701,5356701,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:11:02.793,"StillImage",""
"16",4408248854,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/274856011","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Silene latifolia","","SPECIES","Silene latifolia Poir.","Silene latifolia","","GB","Ancaster CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.978743,-0.536308,NA,NA,NA,NA,NA,NA,2023-06-04,4,6,2023,5384805,5384805,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:22:55.722,"StillImage",""
"17",4408245984,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/274848995","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Alliaria","Alliaria petiolata","","SPECIES","Alliaria petiolata (M.Bieb.) Cavara & Grande","Alliaria petiolata","","GB","Wilsford CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.972955,-0.529393,NA,NA,NA,NA,NA,NA,2023-06-04,4,6,2023,5376075,5376075,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:10:02.031,"StillImage",""
"18",4408208020,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/275106054","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Cymbalaria","Cymbalaria muralis","","SPECIES","Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.","Cymbalaria muralis","","GB","Ancaster CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.978687,-0.538019,NA,NA,NA,NA,NA,NA,2023-06-06,6,6,2023,8200663,8200663,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:09:56.707,"StillImage",""
"19",4408126773,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/276180716","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Bryonia","Bryonia dioica","","SPECIES","Bryonia dioica Jacq.","Bryonia dioica","","GB","Ancaster CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.97818,-0.536477,NA,NA,NA,NA,NA,NA,2023-06-13,13,6,2023,6422396,6422396,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:09:53.56,"StillImage",""
"20",4408057089,"8a863029-f435-446a-821e-275f4f641165","https://observation.org/observation/274859303","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","Urtica","Urtica dioica","","SPECIES","Urtica dioica L.","Urtica dioica","","GB","Ancaster CP","England - Lincolnshire","PRESENT",1,"c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f",52.978391,-0.536467,NA,NA,NA,NA,NA,NA,2023-06-04,4,6,2023,7960979,7960979,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_NC_4_0","Stichting Observation International","User 852291",NA,NA,2024-10-22 20:10:32.35,"StillImage",""
"21",3998850351,"14d5676a-2c54-4f94-9023-1e8dcd822aa0","q-10610700793","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Silene vulgaris","","SPECIES","Silene vulgaris (Moench) Garcke","Silene vulgaris (Moench) Garcke","(Moench) Garcke","GB","","","PRESENT",1,"da86174a-a605-43a4-a5e8-53d484152cd3",52.971512,-0.54294,NA,NA,132,0,NA,NA,2022-06-04 12:17:16.384,4,6,2022,9172281,9172281,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_4_0","","",NA,NA,2024-01-25 05:54:47.005,"","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
"22",3998752236,"14d5676a-2c54-4f94-9023-1e8dcd822aa0","q-10610698593","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Silene","Silene vulgaris","","SPECIES","Silene vulgaris (Moench) Garcke","Silene vulgaris (Moench) Garcke","(Moench) Garcke","GB","","","PRESENT",1,"da86174a-a605-43a4-a5e8-53d484152cd3",52.971512,-0.54294,NA,NA,132,0,NA,NA,2022-06-04 12:15:42.706,4,6,2022,9172281,9172281,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_4_0","","",NA,NA,2024-01-25 04:16:49.334,"","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
"23",3998417951,"14d5676a-2c54-4f94-9023-1e8dcd822aa0","q-10684238484","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","Humulus","Humulus lupulus","","SPECIES","Humulus lupulus L.","Humulus lupulus L.","L.","GB","","","PRESENT",1,"da86174a-a605-43a4-a5e8-53d484152cd3",52.982532,-0.538532,12,NA,98.14,0,NA,NA,2022-09-01 11:43:10.117,1,9,2022,2984535,2984535,"HUMAN_OBSERVATION","","","","","",NA,"CC_BY_4_0","","",NA,NA,2024-01-25 05:57:22.795,"","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
